Disease,Medicine_Name,Risk_Factors,Precautions_x,Descriptions,Symptoms
psoriasis,['steroid'],"['Family history, Viral and bacterial infections, Obesity, Lesions, Smoking.']","['Wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths\n']","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","['skin_rash', 'joint_pain', 'skin_peeling', 'silver_like_dusting', 'small_dents_in_nails', 'inflammatory_nails']"
rabies,['Oseltamivir (Tamiflu)'],"['Travelling where rabies is common, Activities that put you in contact with wild animals.']","['Vaccinate dogs and cats against rabies, Do not keep wild animals as pets, Leave stray animals alone.']",No Description found for this disease,No Symptoms found for this disease
rubella,['no medicine available (consult doctor)'],"['Contact with infected patient, not vaccinated, Overcrowding, Poor immune system, Medical personnel.']","['Getting vaccinated, do not contact ill person']",No Description found for this disease,No Symptoms found for this disease
salmonella,['Isoniazid (antibiotics)'],"['Owning a pet bird or reptile, Inflammatory bowel disease, AIDS, Sickle cell disease, Malaria.']","['Avoid eating raw eggs, undercooked meat, Refrigerate food properly, wash hands after contacting meat']",No Description found for this disease,No Symptoms found for this disease
schizophrenia,['Abilify (aripiprazole)'],"['Family history, birth complications, drugs during teen years and young adulthood.']","[""Don't use street drugs, and moderate any use of alcohol, Avoid social isolation.""]",No Description found for this disease,No Symptoms found for this disease
sickle cell anemia,['no medicine available (consult doctor)'],['If both parents carry a sickle cell gene.'],"['Take folic acid supplements daily, healthy diet. Drink plenty of water. Avoid temperature extremes.']",No Description found for this disease,No Symptoms found for this disease
smallpox,['tecovirimat (tpoxx)'],"['Being unvaccinated, contact with person suffering from small pox']","['Getting vaccinated, do not contact ill person']",No Description found for this disease,No Symptoms found for this disease
stroke,['alteplase'],"['Obesity, Heavy drinking, Use of illegal drugs, High BP, Cigarette smoking, High cholesterol']","['healthy diet, exercise regularly, and avoid smoking and drinking too much alcohol.']",No Description found for this disease,No Symptoms found for this disease
swine flu,"['Antiviral drugs', 'Analgesic']","['Swine farmers and veterinarians, traveled to an area where many people are affected by swine flu.', 'Swine farmers and veterinarians, traveled to an area where many people are affected by swine flu.']","['Get vaccinated against H1N1, wash your hands often with soap, Avoid touching your eyes,nose or mouth', 'Get vaccinated against H1N1, wash your hands often with soap, Avoid touching your eyes,nose or mouth']",No Description found for this disease,No Symptoms found for this disease
tetanus,"['Isoniazid (antibiotics)', 'Penicillin']","['Injecting drugs, Gunshot wounds, fractures, Animal or insect bites, foot ulcers, surgical wounds', 'Injecting drugs, Gunshot wounds, fractures, Animal or insect bites, foot ulcers, surgical wounds']","['Control bleeding, Keep the wound clean, Use antibiotics, Cover the wound, Change the dressing', 'Control bleeding, Keep the wound clean, Use antibiotics, Cover the wound, Change the dressing']",No Description found for this disease,No Symptoms found for this disease
thrombocythemia,['no medicine available (consult doctor)'],"['High blood cholesterol, high blood pressure, diabetes, and smoking.']",['No precaution'],No Description found for this disease,No Symptoms found for this disease
thyroid,['no medicine available (consult doctor)'],"['Woman who\x92s had menopause, Had prolonged, calcium, vitamin D deficiency, Had radiation treatment.']","['Avoid smoking, drink plenty water, Eat selenium, tyrosine, and antioxidants rich food.']",No Description found for this disease,No Symptoms found for this disease
tuberculosis,['Isoniazid (antibiotics)'],"['AIDS, Severe kidney disease, Cancer treatment, Drugs to prevent rejection of transplanted organs']","['cover mouth, consult doctor, medication\n']","Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.","['chills', 'vomiting', 'fatigue', 'weight_loss', 'cough', 'high_fever', 'breathlessness', 'sweating', 'loss_of_appetite', 'mild_fever', 'yellowing_of_eyes', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'chest_pain', 'blood_in_sputum']"
typhoid,"['Chloramphenicol', 'Penicillin']","['Work in or travel to areas where typhoid fever is established, Drink contaminated water', 'Work in or travel to areas where typhoid fever is established, Drink contaminated water']","['eat high calorie vegetables, antibiotic therapy, consult doctor, medication\n', 'eat high calorie vegetables, antibiotic therapy, consult doctor, medication\n']","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.","['chills', 'vomiting', 'fatigue', 'high_fever', 'headache', 'nausea', 'constipation', 'abdominal_pain', 'diarrhoea', 'toxic_look_(typhos)', 'belly_pain']"
urinary tract infection,"['Penicillin', 'Isoniazid (antibiotics)']","['Being women, Women who use diaphragms, A suppressed immune system, Kidney stones.', 'Being women, Women who use diaphragms, A suppressed immune system, Kidney stones.']","['Drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics\n', 'Drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics\n']","Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","['burning_micturition', 'bladder_discomfort', 'foul_smell_of urine', 'continuous_feel_of_urine']"
vaginosis,['Isoniazid (antibiotics)'],"['Having multiple sex partners, Natural lack of lactobacilli bacteria, Douching.']","['Avoid over-washing, Avoid using strong detergent for underwear, Change your tampons or pads frequently.']",No Description found for this disease,No Symptoms found for this disease
varicose veins,['no medicine (consult doctor immediately)'],"['Older age, being woman, Family history, Obesity, Standing or sitting for long periods of time.']","[""Lie down flat and raise the leg high, use ointments, use vein compressor, don't stand still for long\n""]","A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.","['fatigue', 'cramps', 'bruising', 'obesity', 'swollen_legs', 'swollen_blood_vessels', 'prominent_veins_on_calf']"
whooping cough,['Isoniazid (antibiotics)'],"['Being unvaccinated, travelling to places where whooping cough is common, contact of ill person']","['Getting vaccinated,']",No Description found for this disease,No Symptoms found for this disease
yellow fever,['no medicine available (consult doctor)'],['If you travel to an area where mosquitoes continue to carry the yellow fever virus.'],"['Prevent mosquito bites Use insect repellent, wear protective clothing, and get vaccinated before traveling']",No Description found for this disease,No Symptoms found for this disease
zika,['no medicine available (consult doctor)'],"['Living or traveling in countries where there have been outbreaks, Having unprotected sex.']","['Prevent mosquito bites, using condoms, use insect repellents, wear protective clothing while travelling']",No Description found for this disease,No Symptoms found for this disease
scleroderma,"['nifedipine', 'steroid']","['Genetics, being woman, Immune system problems, Environmental triggers.', 'Genetics, being woman, Immune system problems, Environmental triggers.']","['Frequently massage skin, avoid soaps that dry skin, keep skin moist by use of moisturizing lotions', 'Frequently massage skin, avoid soaps that dry skin, keep skin moist by use of moisturizing lotions']",No Description found for this disease,No Symptoms found for this disease
